vehicle_class,score_band,loan_type,ticket_bucket,base_size_scrub,avg_unique_users,avg_loans_opened,avg_amount_inr_cr,incidence_rate,avg_ticket_size_inr
COMMERCIAL,600-700,BL,2L-3L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,BL,3L-4L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,BL,4L-5L,9,0,0,0.0,0.0,0.0
COMMERCIAL,600-700,BL,5L+,9,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,PL,0-50k,4,1.0,1.25,0.0,0.3125,1300.0
COMMERCIAL,500-600,PL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,PL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,PL,2L-3L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,PL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,PL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,PL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,GL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,GL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,GL,1L-2L,4,1.0,1.0,0.02,0.25,190440.0
COMMERCIAL,500-600,GL,2L-3L,4,1.0,1.0,0.02,0.25,200544.0
COMMERCIAL,500-600,GL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,GL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,GL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,BL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,BL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,BL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,BL,2L-3L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,BL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,BL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,500-600,BL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,PL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,PL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,PL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,PL,2L-3L,4,1.0,1.0,0.02,0.25,200814.0
COMMERCIAL,800+,PL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,PL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,PL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,GL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,GL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,GL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,GL,2L-3L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,GL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,GL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,GL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,BL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,BL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,BL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,BL,2L-3L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,BL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,BL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,800+,BL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,PL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,PL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,PL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,PL,2L-3L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,PL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,PL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,PL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,GL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,GL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,GL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,GL,2L-3L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,GL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,GL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,GL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,BL,0-50k,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,BL,50k-1L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,BL,1L-2L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,BL,2L-3L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,BL,3L-4L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,BL,4L-5L,4,0,0,0.0,0.0,0.0
COMMERCIAL,<500,BL,5L+,4,0,0,0.0,0.0,0.0
COMMERCIAL,No score,PL,0-50k,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,PL,50k-1L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,PL,1L-2L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,PL,2L-3L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,PL,3L-4L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,PL,4L-5L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,PL,5L+,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,GL,0-50k,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,GL,50k-1L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,GL,1L-2L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,GL,2L-3L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,GL,3L-4L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,GL,4L-5L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,GL,5L+,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,BL,0-50k,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,BL,50k-1L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,BL,1L-2L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,BL,2L-3L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,BL,3L-4L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,BL,4L-5L,1,0,0,0.0,0.0,0.0
COMMERCIAL,No score,BL,5L+,1,0,0,0.0,0.0,0.0
